Good	instance_count
Gold	22
Bricks	20
Sugarcane	18
Coffee	17
Cotton	17
Tobacco	16
Cattle	14
Fish	12
Rice	9
Garments	9
Cocoa	7
Pornography	7
Coal	7
Footwear	6
Diamonds	6
Tea	6
Timber	6
Rubber	6
Corn	5
Fireworks	5
Bananas	5
Carpets	5
Stones	5
Textiles	5
Melons	4
Tomatoes	4
Manioc/Cassava	4
Salt	4
Shrimp	4
Poultry	3
Cashews	3
Sand	3
Gravel (crushed stones)	3
Sisal	3
Peanuts	3
Leather	3
Hogs	3
Granite	3
Oil (palm)	2
Embellished Textiles	2
Charcoal	2
Shellfish	2
Coca (stimulant plant)	2
Brazil Nuts/Chestnuts	2
Citrus Fruits	2
Stones (limestone)	2
Baked Goods	2
Matches	2
Tin	2
Sesame	2
Yerba Mate (stimulant plant)	2
Gems	2
Glass Bangles	2
Onions	2
Poppies	2
Furniture	2
Electronics	2
Vanilla	2
Sheep	2
Goats	2
Bidis (hand-rolled cigarettes)	2
Cement	1
Footwear (sandals)	1
Granite (crushed)	1
Stones (pumice)	1
Cucumbers	1
Silk Cocoons	1
Beans (green, soy, yellow)	1
Pepper	1
Amber	1
Meat	1
Bricks (clay)	1
Brassware	1
Bovines	1
Coconuts	1
Beans (green beans)	1
Soccer Balls	1
Silk Fabric	1
Copper	1
Furniture (steel)	1
Flowers	1
Lobsters	1
Carrots	1
Incense (agarbatti)	1
Pyrotechnics	1
Sunflowers	1
Grapes	1
Nile Perch (fish)	1
Teak	1
Leather Goods/Accessories	1
Cloves	1
Cereal Grains	1
Potatoes	1
Textiles (hand-woven)	1
Bamboo	1
Beef	1
Cumin	1
Artificial Flowers	1
Garments 	1
Sweet Potatoes	1
Hazelnuts	1
Sapphires	1
Broccoli	1
Blueberries	1
Christmas Decorations	1
Palm Thatch	1
Miraa (stimulant plant)	1
Jade	1
Strawberries	1
Silver	1
Glass	1
Garlic	1
Tanzanite (gems)	1
Textiles (jute)	1
Soap	1
Oil (Palm)	1
Pineapples	1
Silk Thread	1
Alcoholic Beverages	1
Gypsum (mineral)	1
Toys	1
Zinc	1
Iron	1
Cottonseed (hybrid)	1
Fluorspar (mineral)	1
Thread/Yarn	1
Beans 	1
Cabbages	1
Dried Fish	1
Fashion Accessories	1
Trona (mineral)	1
Tin ore (cassiterite)	1
Olives	1
Pulses (legumes)	1
Locks	1
Rubies	1
Chile Peppers	1
Eggplants	1
Lettuce	1
Cobalt ore (heterogenite)	1
Sugar Beets	1
Ceramics	1
Emeralds	1
Mica	1
Tilapia (fish)	1
Tungsten ore (wolframite)	1
Tantalum ore (coltan)	1
Peppers	1
Surgical Instruments	1
Nails	1
Wheat	1
