country_code	observed_count
US	115
GB	97
CN	79
SY	60
IND	58
TR	53
BG	53
VN	52
BE	50
RU	50
IR	45
IN	41
IQ	33
FR	31
IE	30
AU	30
MY	28
JP	27
TH	26
IT	23
DE	23
KR	23
BD	22
SA	21
NZ	21
CH	21
AR	20
MM	20
AE	20
IL	19
ES	19
ID	19
EG	18
CA	17
VE	17
UA	16
NP	16
GH	16
MX	16
LB	15
SD	15
PE	14
PL	14
KG	14
ZA	14
GR	13
BR	13
QA	13
KW	13
CU	12
BO	12
LU	12
TJ	12
CY	12
LK	12
HU	12
ZW	12
BT	12
KZ	12
AZ	12
AL	12
SO	12
SRB	12
SQ	12
CO	11
PH	10
UG	10
PK	9
KE	9
KP	6
NG	5
DK	5
BN	5
ET	5
NA	5
GE	5
UY	4
TO	4
WS	4
FJ	4
NL	4
AF	4
HN	3
CZ	3
LA	3
AM	3
GT	3
RW	3
TW	2
SE	2
CD	2
NO	2
SN	2
GL	2
YE	2
NE	2
SV	2
CI	2
CR	2
UZ	1
NI	1
SG	1
EE	1
TD	1
FI	1
IS	1
HK	1
SK	1
MZ	1
PT	1
LV	1
LY	1
DO	1
VA	1
TZ	1
ML	1
SS	1
MN	1
MG	1
MW	1
